,Compound,SMILES,Electrical Conductivity (S/m),Electrical Conductivity Error (S/m),Viscosity (Pa*s),Viscosity Error (Pa*s),Density (kg/m^3),Density Error (kg/m^3),Cation SMILES,Anion SMILES,Cation radii using Mordred McGowan volume,Anion radii using Mordred McGowan volume,Cation radii using RDKit DCLV van der Waals volume,Anion radii using RDKit DCLV van der Waals volume,Cation radii using RDKit computeMolVolume,Anion radii using RDKit computeMolVolume,Cation radii using RDKit DCLV van der Waals volume & surface area,Anion radii using RDKit DCLV van der Waals volume & surface area,Cation Family,Longest Alkyl Chain
16,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,0.896,0.02,0.0574,0.0025,1304.1,8.9,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.0481829983369876e-10,2.2411969130681608e-10,3.0445928070101825e-10,2.3258676027345982e-10,2.4945874057015983e-10,1.8328808690519599e-10,imidazolium,2
17,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1.305,0.056,0.0449,0.0005,1296.0,4.0,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.0475401959991856e-10,2.2373289283834903e-10,3.0395020803907967e-10,2.3270438280806027e-10,2.4927577733310613e-10,1.8318656548191343e-10,imidazolium,2
18,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1.57,0.01,0.036,0.001,1279.9,1.5,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.0478730238873456e-10,2.2400495251486287e-10,3.0419119802045736e-10,2.3263382356091856e-10,2.493569087940845e-10,1.8333342769103743e-10,imidazolium,2
19,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,3.56,0.07,0.0129,0.0001,1252.6,0.8,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.0467173571939145e-10,2.2372341231383319e-10,3.040053251530633e-10,2.3249257651735347e-10,2.494567245823797e-10,1.8333241841235862e-10,imidazolium,2
20,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1.0962,0.0088,0.05865,0.00053,1291.2,1.1,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.0470535266375e-10,2.2396903618558507e-10,3.0403287621696127e-10,2.330330949148105e-10,2.49473320635014e-10,1.8317763512325567e-10,imidazolium,2
21,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1.31,0.01,0.03884,0.00036,1279.2,0.5,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.0474388598657326e-10,2.2377256081324947e-10,3.0395020803907967e-10,2.3315026764921435e-10,2.4955521223316217e-10,1.833987943358745e-10,imidazolium,2
22,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1.74,0.02,0.02722,0.00025,1272.6,0.5,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.0480215124695987e-10,2.237282550469682e-10,3.0404664987662727e-10,2.3266910853393967e-10,2.4933941186970353e-10,1.8321222588996043e-10,imidazolium,2
23,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,2.77,0.03,0.01997,0.00018,1268.1,1.1,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.046840798110955e-10,2.23716377886171e-10,3.0407419345280565e-10,2.3262205952430887e-10,2.4931638987211816e-10,1.8349909296786776e-10,imidazolium,2
24,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,3.51,0.04,0.01521,0.00014,1260.6,1.1,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.047597465038494e-10,2.2388341985705744e-10,3.039433169941867e-10,2.3286885486197267e-10,2.496207801912737e-10,1.8342963150260327e-10,imidazolium,2
25,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,4.34,0.04,0.01194,0.00011,1253.3,1.1,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.049000426965017e-10,2.2353190621210087e-10,3.0442493750703687e-10,2.329979201074966e-10,2.4942302129288703e-10,1.83371800128568e-10,imidazolium,2
