Input features,Model type,"MAE, ammonium ILs, test set","MAE, ammonium ILs, train set","MAE, imidazolium ILs, test set","MAE, imidazolium ILs, train set","MAE, pyridinium ILs, test set","MAE, pyridinium ILs, train set","MSE, ammonium ILs, test set","MSE, ammonium ILs, train set","MSE, imidazolium ILs, test set","MSE, imidazolium ILs, train set","MSE, pyridinium ILs, test set","MSE, pyridinium ILs, train set","R^2, ammonium ILs, test set","R^2, ammonium ILs, train set","R^2, imidazolium ILs, test set","R^2, imidazolium ILs, train set","R^2, pyridinium ILs, test set","R^2, pyridinium ILs, train set"
N/A,Dummy regressor,0.138,0.319,0.188,0.221,0.154,0.165,0.0410,0.169,0.0910,0.128,0.0306,0.0423,-0.516,-0.425,-0.217,-0.0505,-3.081,-0.241
moment_waps_wans,Linear L1,0.126,0.164,0.170,0.193,0.0747,0.0945,0.0282,0.0430,0.0679,0.120,0.00738,0.0192,-0.0430,0.637,0.0917,0.0172,0.0142,0.436
RDKit,Linear L1,0.188,0.110,0.169,0.163,0.0635,0.0891,0.0521,0.0200,0.0707,0.087,0.00520,0.0161,-0.927,0.831,0.0534,0.286,0.306,0.529
RDKit_and_moment_waps_wans,Linear L1,0.177,0.109,0.167,0.161,0.0590,0.0885,0.0475,0.0197,0.0707,0.0860,0.00450,0.0159,-0.755,0.834,0.0535,0.292,0.399,0.533
RDKit_and_S_i,Linear L1,0.175,0.108,0.166,0.163,0.0639,0.0901,0.0471,0.0193,0.0690,0.0868,0.00528,0.0162,-0.742,0.837,0.077,0.286,0.295,0.526
RDKit_and_sigma_profiles,Linear L1,0.123,0.107,0.162,0.159,0.0593,0.0925,0.0330,0.0192,0.0631,0.0840,0.00464,0.0168,-0.221,0.838,0.155,0.309,0.381,0.506
S_i,Linear L1,0.178,0.181,0.180,0.188,0.0601,0.111,0.0503,0.0464,0.0766,0.118,0.00533,0.0228,-0.859,0.608,-0.0244,0.0274,0.289,0.332
S_i_and_moment_waps_wans,Linear L1,0.109,0.172,0.174,0.190,0.0706,0.102,0.0278,0.0440,0.0745,0.118,0.00660,0.0207,-0.0284,0.628,0.00352,0.0330,0.118,0.393
sigma_profiles,Linear L1,0.147,0.154,0.156,0.177,0.0573,0.105,0.0347,0.0339,0.0605,0.0987,0.00449,0.0196,-0.281,0.713,0.191,0.189,0.400,0.425
moment_waps_wans,XGBoost,0.178,0.0425,0.138,0.0793,0.0828,0.0567,0.0523,0.00448,0.0441,0.0281,0.00935,0.00693,-0.931,0.962,0.410,0.769,-0.249,0.797
RDKit,XGBoost,0.142,0.0165,0.131,0.0354,0.0577,0.0193,0.0410,0.00103,0.0429,0.00617,0.00463,0.00113,-0.516,0.991,0.426,0.949,0.382,0.967
RDKit_and_moment_waps_wans,XGBoost,0.131,0.0108,0.151,0.0274,0.0607,0.0139,0.0368,0.000406,0.0563,0.00380,0.00462,0.000691,-0.360,0.997,0.247,0.969,0.383,0.980
RDKit_and_S_i,XGBoost,0.129,0.0211,0.158,0.0445,0.0695,0.0257,0.0355,0.00133,0.0605,0.0110,0.00611,0.00212,-0.311,0.989,0.190,0.909,0.184,0.938
RDKit_and_sigma_profiles,XGBoost,0.160,0.0202,0.147,0.0422,0.0427,0.0254,0.0452,0.00129,0.0597,0.0078,0.00237,0.00188,-0.672,0.989,0.201,0.936,0.684,0.945
S_i,XGBoost,0.125,0.0409,0.155,0.0852,0.0655,0.0560,0.0338,0.00471,0.0518,0.0263,0.00543,0.00707,-0.250,0.960,0.307,0.784,0.274,0.793
S_i_and_moment_waps_wans,XGBoost,0.119,0.0353,0.154,0.0692,0.0762,0.0462,0.0292,0.00339,0.0476,0.0188,0.00690,0.00553,-0.0802,0.971,0.362,0.845,0.0779,0.838
sigma_profiles,XGBoost,0.128,0.0157,0.259,0.0403,0.0622,0.0219,0.0334,0.000984,0.159,0.00905,0.00557,0.00169,-0.233,0.992,-1.12,0.926,0.255,0.951
