Input features,Model type,"MAE, ammonium ILs, test set","MAE, ammonium ILs, train set","MAE, imidazolium ILs, test set","MAE, imidazolium ILs, train set","MAE, pyridinium ILs, test set","MAE, pyridinium ILs, train set","MSE, ammonium ILs, test set","MSE, ammonium ILs, train set","MSE, imidazolium ILs, test set","MSE, imidazolium ILs, train set","MSE, pyridinium ILs, test set","MSE, pyridinium ILs, train set","R^2, ammonium ILs, test set","R^2, ammonium ILs, train set","R^2, imidazolium ILs, test set","R^2, imidazolium ILs, train set","R^2, pyridinium ILs, test set","R^2, pyridinium ILs, train set"
N/A,Dummy regressor,1.24,0.810,1.21,1.60,1.22,1.19,2.41,1.85,3.76,6.88,2.81,3.25,-0.624,0.000,-0.244,-0.348,-0.643,-0.442
moment_waps_wans,Linear L1,0.419,0.522,0.890,0.920,1.07,0.739,0.411,1.16,2.14,2.44,1.96,1.49,0.723,0.375,0.290,0.522,-0.145,0.338
RDKit,Linear L1,0.767,0.370,0.644,0.728,0.499,0.578,0.919,0.695,0.810,1.22,0.502,0.842,0.382,0.625,0.732,0.762,0.707,0.626
RDKit_and_moment_waps_wans,Linear L1,0.790,0.372,0.643,0.724,0.496,0.579,0.986,0.700,0.808,1.21,0.495,0.848,0.337,0.622,0.732,0.762,0.710,0.624
RDKit_and_S_i,Linear L1,0.434,0.226,0.364,0.627,0.261,0.377,0.302,0.244,0.262,2.00,0.126,0.414,0.797,0.868,0.913,0.607,0.926,0.816
RDKit_and_sigma_profiles,Linear L1,0.731,0.363,0.623,0.681,0.501,0.575,0.885,0.653,0.743,1.03,0.479,0.846,0.405,0.647,0.754,0.798,0.720,0.624
S_i,Linear L1,0.827,0.494,0.694,0.926,0.843,0.649,1.72,0.906,1.21,2.27,1.04,0.950,-0.155,0.511,0.599,0.554,0.391,0.578
S_i_and_moment_waps_wans,Linear L1,0.362,0.474,0.675,0.887,0.838,0.625,0.251,0.969,1.38,2.40,1.28,1.04,0.831,0.477,0.542,0.530,0.253,0.539
sigma_profiles,Linear L1,0.886,0.397,0.769,1.05,0.788,0.648,1.83,0.865,1.58,2.88,1.18,1.27,-0.229,0.533,0.477,0.436,0.308,0.438
moment_waps_wans,XGBoost,0.912,0.0713,0.445,0.159,0.399,0.112,1.85,0.0335,0.323,0.0822,0.296,0.0328,-0.244,0.982,0.893,0.984,0.827,0.985
RDKit,XGBoost,0.520,0.0677,0.238,0.152,0.151,0.116,0.611,0.0284,0.110,0.0809,0.0390,0.0418,0.589,0.985,0.963,0.984,0.977,0.981
RDKit_and_moment_waps_wans,XGBoost,0.536,0.0467,0.262,0.107,0.220,0.086,0.662,0.0100,0.143,0.0408,0.0969,0.0217,0.555,1.00,0.953,0.992,0.943,0.990
RDKit_and_S_i,XGBoost,0.680,0.0366,0.298,0.092,0.224,0.067,0.896,0.00940,0.187,0.0331,0.0743,0.0127,0.397,1.00,0.938,0.994,0.957,0.994
RDKit_and_sigma_profiles,XGBoost,0.619,0.0948,0.376,0.231,0.246,0.167,0.770,0.0560,0.321,0.191,0.132,0.0749,0.482,0.970,0.894,0.963,0.923,0.967
S_i,XGBoost,0.614,0.0419,0.368,0.100,0.402,0.071,0.593,0.0111,0.229,0.0349,0.247,0.0140,0.601,0.994,0.924,0.993,0.856,0.994
S_i_and_moment_waps_wans,XGBoost,0.858,0.0676,0.344,0.151,0.386,0.105,1.36,0.0309,0.198,0.0807,0.225,0.0248,0.0875,0.983,0.934,0.984,0.869,0.989
sigma_profiles,XGBoost,0.702,0.0829,0.379,0.173,0.175,0.137,0.933,0.0396,0.360,0.0994,0.0489,0.0530,0.372,0.979,0.881,0.981,0.971,0.976
